geoid,name,B19013001,B19013001e
15000US250250001001,"Block Group 1, Suffolk, MA",54643.000000000000000,43636.000000000000000
15000US250250001002,"Block Group 2, Suffolk, MA",39310.000000000000000,17960.000000000000000
15000US250250001003,"Block Group 3, Suffolk, MA",49583.000000000000000,20558.000000000000000
15000US250250001004,"Block Group 4, Suffolk, MA",68450.000000000000000,13576.000000000000000
15000US250250002011,"Block Group 1, Suffolk, MA",79107.000000000000000,35809.000000000000000
15000US250250002012,"Block Group 2, Suffolk, MA",72500.000000000000000,43621.000000000000000
15000US250250002013,"Block Group 3, Suffolk, MA",64333.000000000000000,32464.000000000000000
15000US250250002014,"Block Group 4, Suffolk, MA",48750.000000000000000,13637.000000000000000
15000US250250002021,"Block Group 1, Suffolk, MA",59605.000000000000000,8316.000000000000000
15000US250250002022,"Block Group 2, Suffolk, MA",56442.000000000000000,30769.000000000000000
15000US250250002023,"Block Group 3, Suffolk, MA",93036.000000000000000,81987.000000000000000
15000US250250002024,"Block Group 4, Suffolk, MA",14567.000000000000000,10142.000000000000000
15000US250250003011,"Block Group 1, Suffolk, MA",82586.000000000000000,64428.000000000000000
15000US250250003012,"Block Group 2, Suffolk, MA",97333.000000000000000,12263.000000000000000
15000US250250003013,"Block Group 3, Suffolk, MA",83276.000000000000000,30162.000000000000000
15000US250250003014,"Block Group 4, Suffolk, MA",75188.000000000000000,45631.000000000000000
15000US250250003021,"Block Group 1, Suffolk, MA",80313.000000000000000,21355.000000000000000
15000US250250003022,"Block Group 2, Suffolk, MA",68592.000000000000000,8150.000000000000000
15000US250250004011,"Block Group 1, Suffolk, MA",51522.000000000000000,27629.000000000000000
15000US250250004012,"Block Group 2, Suffolk, MA",55650.000000000000000,14854.000000000000000
15000US250250004013,"Block Group 3, Suffolk, MA",60750.000000000000000,13466.000000000000000
15000US250250004014,"Block Group 4, Suffolk, MA",14819.000000000000000,2405.000000000000000
15000US250250004021,"Block Group 1, Suffolk, MA",40431.000000000000000,10264.000000000000000
15000US250250004022,"Block Group 2, Suffolk, MA",56742.000000000000000,23590.000000000000000
15000US250250004023,"Block Group 3, Suffolk, MA",69643.000000000000000,37208.000000000000000
15000US250250005021,"Block Group 1, Suffolk, MA",61607.000000000000000,22713.000000000000000
15000US250250005022,"Block Group 2, Suffolk, MA",36354.000000000000000,26542.000000000000000
15000US250250005023,"Block Group 3, Suffolk, MA",40156.000000000000000,24801.000000000000000
15000US250250005024,"Block Group 4, Suffolk, MA",0.000000000000000,0.000000000000000
15000US250250005031,"Block Group 1, Suffolk, MA",71250.000000000000000,34879.000000000000000
15000US250250005032,"Block Group 2, Suffolk, MA",53100.000000000000000,12172.000000000000000
15000US250250005041,"Block Group 1, Suffolk, MA",40016.000000000000000,10891.000000000000000
15000US250250005042,"Block Group 2, Suffolk, MA",48018.000000000000000,15997.000000000000000
15000US250250005043,"Block Group 3, Suffolk, MA",60605.000000000000000,9377.000000000000000
15000US250250005044,"Block Group 4, Suffolk, MA",26612.000000000000000,10728.000000000000000
15000US250250006011,"Block Group 1, Suffolk, MA",54219.000000000000000,23589.000000000000000
15000US250250006012,"Block Group 2, Suffolk, MA",44904.000000000000000,28391.000000000000000
15000US250250006013,"Block Group 3, Suffolk, MA",39722.000000000000000,30503.000000000000000
15000US250250006014,"Block Group 4, Suffolk, MA",52969.000000000000000,10831.000000000000000
15000US250250006021,"Block Group 1, Suffolk, MA",39394.000000000000000,8634.000000000000000
15000US250250006022,"Block Group 2, Suffolk, MA",28827.000000000000000,5244.000000000000000
15000US250250006023,"Block Group 3, Suffolk, MA",12480.000000000000000,2788.000000000000000
15000US250250007011,"Block Group 1, Suffolk, MA",34583.000000000000000,9220.000000000000000
15000US250250007012,"Block Group 2, Suffolk, MA",20938.000000000000000,8816.000000000000000
15000US250250007013,"Block Group 3, Suffolk, MA",43081.000000000000000,7975.000000000000000
15000US250250007014,"Block Group 4, Suffolk, MA",56968.000000000000000,10172.000000000000000
15000US250250007015,"Block Group 5, Suffolk, MA",55208.000000000000000,34048.000000000000000
15000US250250007031,"Block Group 1, Suffolk, MA",15833.000000000000000,5657.000000000000000
15000US250250007032,"Block Group 2, Suffolk, MA",23894.000000000000000,14075.000000000000000
15000US250250007041,"Block Group 1, Suffolk, MA",69318.000000000000000,10940.000000000000000
15000US250250007042,"Block Group 2, Suffolk, MA",49000.000000000000000,7205.000000000000000
15000US250250007043,"Block Group 3, Suffolk, MA",36800.000000000000000,13132.000000000000000
15000US250250007044,"Block Group 4, Suffolk, MA",26685.000000000000000,15496.000000000000000
15000US250250008021,"Block Group 1, Suffolk, MA",27784.000000000000000,15977.000000000000000
15000US250250008022,"Block Group 2, Suffolk, MA",27188.000000000000000,40387.000000000000000
15000US250250008023,"Block Group 3, Suffolk, MA",54375.000000000000000,33963.000000000000000
15000US250250008024,"Block Group 4, Suffolk, MA",49318.000000000000000,10162.000000000000000
15000US250250008025,"Block Group 5, Suffolk, MA",25313.000000000000000,6063.000000000000000
15000US250250008031,"Block Group 1, Suffolk, MA",33914.000000000000000,9835.000000000000000
